27768,104919,178505,96082,170284,iMentor NYC,LAB,2017,Class 1,College Transition,11/3/2015,9/21/2016,322,Match Closed,Mentor can no longer participate,Mentor moved
29051,104921,178507,91289,166309,iMentor NYC,LAB,2017,Class 3,College Transition,1/7/2016,,,Match Open,,
27985,104922,178508,90984,166019,iMentor NYC,LAB,2017,Class 1,College Transition,11/5/2015,11/9/2015,3,Match Closed,Mentor can no longer participate,Mentor moved
27831,104923,178509,106672,180105,iMentor NYC,LAB,2017,Class 3,College Transition,11/4/2015,,,Match Open,,
27980,104925,178512,104722,178325,iMentor NYC,LAB,2017,Class 1,College Transition,11/5/2015,,,Match Open,,
27783,104926,178511,99027,172952,iMentor NYC,LAB,2017,Class 2,College Transition,11/3/2015,,,Match Open,,
27847,104927,178513,94554,169109,iMentor NYC,LAB,2017,Class 3,College Transition,11/4/2015,,,Match Open,,
27977,104928,178514,97063,171199,iMentor NYC,LAB,2017,Class 3,College Transition,11/5/2015,,,Match Open,,
27834,104932,178518,88150,163425,iMentor NYC,LAB,2017,Class 2,College Transition,11/4/2015,,,Match Open,,
29056,104933,178519,108821,181915,iMentor NYC,LAB,2017,Class 1,College Transition,1/7/2016,,,Match Open,,
27975,104934,178520,101434,175248,iMentor NYC,LAB,2017,Class 2,College Transition,11/5/2015,,,Match Open,,
27845,104935,178521,75133,152340,iMentor NYC,LAB,2017,Class 2,College Transition,11/4/2015,,,Match Open,,
29054,104936,178522,108516,181657,iMentor NYC,LAB,2017,Class 2,College Transition,1/7/2016,6/23/2016,167,Match Closed,Mentor can no longer participate,Unsatisfactory experience
29193,104937,178523,109742,136720,iMentor NYC,LAB,2017,Class 3,College Transition,1/20/2016,,,Match Open,,
28861,104982,178568,108738,181855,iMentor NYC,BLA II,2019,Class 4,College Ready,12/9/2015,,,Match Open,,
28434,104983,178569,98137,167526,iMentor NYC,BLA II,2019,Class 1,College Ready,11/17/2015,1/15/2016,59,Match Closed,Mentor can no longer participate,Unable to meet program requirements
28436,104984,178570,104287,177939,iMentor NYC,BLA II,2019,Class 2,College Ready,11/17/2015,,,Match Open,,
28410,104990,178576,103097,176815,iMentor NYC,BLA II,2019,Class 2,College Ready,11/16/2015,,,Match Open,,
28446,104991,178577,101607,175411,iMentor NYC,BLA II,2019,Class 3,College Ready,11/17/2015,,,Match Open,,
